t,s
6.825,0.60067465
6.84,0.58797248
6.855,0.56764319
6.87,0.56032281
6.885,0.57316554
6.9,0.59345622
6.915,0.5997099
6.93,0.58383055
6.945,0.56142568
6.96,0.55473953
6.975,0.56944727
6.99,0.59079054
7.005,0.59649426
7.02,0.5794938
7.035,0.55674064
7.05,0.55028977
7.065,0.5648859
7.08,0.58573455
7.095,0.59146469
7.11,0.57548913
7.125,0.55381828
7.14,0.54715888
7.155,0.5601807
7.17,0.5795304
7.185,0.58565196
7.2,0.57192327
7.215,0.55211836
7.23,0.54508899
7.245,0.55590734
7.26,0.57329204
7.275,0.57980536
7.29,0.56863095
7.305,0.55096231
7.32,0.54362805
7.335,0.55215921
7.35,0.56743871
7.365,0.57416482
7.38,0.56537973
7.395,0.54981972
7.41,0.54232528
7.425,0.5487979
7.44,0.56210317
7.455,0.56885899
7.47,0.56202603
7.485,0.54826637
7.5,0.54073834
7.515,0.54566067
7.53,0.55747929
7.545,0.56419713
7.56,0.55863502
7.575,0.54600971
7.59,0.5384738
7.605,0.54261176
7.62,0.5538205
7.635,0.56060407
7.65,0.55542415
7.665,0.5429095
7.68,0.53526148
7.695,0.53957401
7.71,0.55133965
7.725,0.55837895
7.74,0.55248817
7.755,0.53881356
7.77,0.53092986
7.785,0.53652916
7.8,0.55009814
7.815,0.55743953
7.83,0.54953567
7.845,0.53345599
7.86,0.52541952
7.875,0.53342702
7.89,0.54971833
7.905,0.55704632
7.92,0.54595686
7.935,0.52685349
7.95,0.51904153
7.965,0.5299365
7.98,0.54879998
7.995,0.55558523
8.01,0.54141362
8.025,0.52018416
8.04,0.51285563
8.055,0.52524964
8.07,0.54472148
8.085,0.55094632
8.1,0.5364645
8.115,0.51589184
8.13,0.50864335
8.145,0.51912715
8.16,0.53598216
8.175,0.54229281
8.19,0.53170355
8.205,0.51509223
8.22,0.50759106
8.235,0.51356989
8.25,0.52562162
8.265,0.53191823
8.28,0.5267237
8.295,0.51556342
8.31,0.50856349
8.325,0.51039826
8.34,0.51769904
8.355,0.52306853
8.37,0.52161352
8.385,0.51508871
8.4,0.5094802
8.415,0.50896403
8.43,0.51277355
8.445,0.51668788
8.46,0.51695972
8.475,0.51349407
8.49,0.5094679
8.505,0.508021
8.52,0.50959549
8.535,0.51204562
8.55,0.51280444
8.565,0.51111483
8.58,0.50842977
8.595,0.50680112
8.61,0.50703021
8.625,0.50822979
8.64,0.50884421
8.655,0.50804941
8.67,0.50633042
8.685,0.50484916
8.7,0.50434829
8.715,0.50461827
8.73,0.50484384
8.745,0.50437731
8.76,0.50324462
8.775,0.50200911
8.79,0.50121217
8.805,0.50093468
8.82,0.50081351
8.835,0.50041421
8.85,0.49960218
8.865,0.49861121
8.88,0.4977953
8.895,0.49731688
8.91,0.49703902
8.925,0.4966811
8.94,0.49607657
8.955,0.49530575
8.97,0.49460164
8.985,0.49413081
9,0.49385179
9.015,0.49356821
